,company,station,pollutant,year,month,emission,availability
0,ACC Limited,CEMS-2,PM,2016,1,25385,0.568660394265233
1,ACC Limited,CEMS-3,PM,2016,1,21331,0.47784498207885306
2,ACC Limited,CEMS-4,PM,2016,1,25736,0.5765232974910395
3,ACC Limited,stack1,PM,2016,1,25823,0.5784722222222223
4,Aarti Steels Ltd,CEMS-1,PM,2016,1,22997,0.515165770609319
5,Aarti Steels Ltd,CEMS-2,PM,2016,1,27161,0.6084453405017921
6,Aarti Steels Ltd,CEMS-3,PM,2016,1,23468,0.5257168458781362
7,Aarti Steels Ltd,CEMS-4,PM,2016,1,23466,0.5256720430107527
8,Aarti Steels Ltd,CEMS-5,PM,2016,1,23446,0.5252240143369176
9,Aarti Steels Ltd,CEMS-6,PM,2016,1,23463,0.5256048387096774
10,Action Ispat and Power (P) Ltd,CEMS-1,PM,2016,1,6961,0.1559363799283154
11,Action Ispat and Power (P) Ltd,CEMS-2,PM,2016,1,4927,0.11037186379928315
12,Action Ispat and Power (P) Ltd,CEMS-3,PM,2016,1,3312,0.07419354838709677
13,Adhunik Metaliks Ltd.,CEMS-1,PM,2016,1,2823,0.06323924731182795
14,Adhunik Metaliks Ltd.,CEMS-10,PM,2016,1,8178,0.1831989247311828
15,Adhunik Metaliks Ltd.,CEMS-11,PM,2016,1,8190,0.18346774193548387
16,Adhunik Metaliks Ltd.,CEMS-2,PM,2016,1,7213,0.161581541218638
17,Adhunik Metaliks Ltd.,CEMS-3,PM,2016,1,7177,0.16077508960573478
18,Adhunik Metaliks Ltd.,CEMS-4,PM,2016,1,7204,0.16137992831541217
19,Adhunik Metaliks Ltd.,CEMS-5,PM,2016,1,8326,0.18651433691756272
20,Adhunik Metaliks Ltd.,CEMS-6,PM,2016,1,8023,0.17972670250896058
21,Adhunik Metaliks Ltd.,CEMS-7,PM,2016,1,8018,0.17961469534050178
22,Adhunik Metaliks Ltd.,CEMS-8,PM,2016,1,5796,0.12983870967741937
23,Adhunik Metaliks Ltd.,CEMS-9,PM,2016,1,5779,0.1294578853046595
24,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-1,PM,2016,1,9231,0.20678763440860215
25,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-2,PM,2016,1,11052,0.24758064516129033
26,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-3,PM,2016,1,9198,0.2060483870967742
27,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-4,PM,2016,1,8147,0.18250448028673835
28,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-5,PM,2016,1,11512,0.2578853046594982
29,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-7,PM,2016,1,9781,0.2191084229390681
30,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-8,PM,2016,1,9917,0.22215501792114695
31,Agrasen Sponge Private Limited,CEMS-1,PM,2016,1,2784,0.06236559139784946
32,Agrasen Sponge Private Limited,CEMS-2,PM,2016,1,2751,0.0616263440860215
33,B.R. Sponge and Power Ltd.,CEMS-1,PM,2016,1,258,0.005779569892473118
34,BILT Graphics Paper Products Ltd,CEMS-2,PM,2016,1,35865,0.8034274193548387
35,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-1,PM,2016,1,25266,0.565994623655914
36,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-2,PM,2016,1,15414,0.34529569892473116
37,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-3,PM,2016,1,25078,0.5617831541218637
38,Bhagawati Steels Pvt. Ltd.,CEMS-1,PM,2016,1,8727,0.195497311827957
39,Bhaskar Steel and Ferro Alloy Limited,CEMS-1,PM,2016,1,9295,0.20822132616487454
40,Bhushan Energy Limited,st1,PM,2016,1,26430,0.5920698924731183
41,Bhushan Energy Limited,st3,PM,2016,1,24892,0.5576164874551971
42,Bhushan Power and Steel Limited,CPP130MWU-1,PM,2016,1,4154,0.09305555555555556
43,Bhushan Power and Steel Limited,CPP130MWU-2,PM,2016,1,4143,0.09280913978494623
44,Bhushan Power and Steel Limited,CPPUNIT-3,PM,2016,1,4851,0.10866935483870968
45,Bhushan Power and Steel Limited,DRI-5,PM,2016,1,680,0.015232974910394265
46,Bhushan Power and Steel Limited,DRI-6,PM,2016,1,680,0.015232974910394265
47,Bhushan Power and Steel Limited,DRI-7,PM,2016,1,1881,0.04213709677419355
48,Bhushan Power and Steel Limited,DRI-8,PM,2016,1,3765,0.08434139784946236
49,Bhushan Power and Steel Limited,PelletPlant,PM,2016,1,13217,0.29607974910394264
50,Bhushan Power and Steel Limited,PelletPlant-2,PM,2016,1,12805,0.28685035842293904
51,Bhushan Power and Steel Limited,WHRB-10,PM,2016,1,638,0.014292114695340502
52,Bhushan Power and Steel Limited,WHRB-9,PM,2016,1,1474,0.033019713261648743
53,Bhushan Steel Limited,CEMS-1,PM,2016,1,587,0.013149641577060932
54,Bhushan Steel Limited,CEMS-2,PM,2016,1,1385,0.03102598566308244
