,company,station
0,Adhunik Metaliks Ltd.,CEMS-1
1,Adhunik Metaliks Ltd.,CEMS-5
2,Adhunik Metaliks Ltd.,CEMS-7
3,Agrasen Sponge Private Limited,CEMS-1
4,Agrasen Sponge Private Limited,CEMS-2
5,B.R. Sponge and Power Ltd.,CEMS-1
6,BILT Graphics Paper Products Ltd,CEMS-2
7,Bhushan Steel Limited,CEMS-2
8,Grewal Associates Pvt. Ltd.,CEMS-2
9,Indian Metal and Ferro Alloys Ltd,boiler-2
10,Indian Metal and Ferro Alloys Ltd,boiler-5
11,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),120MW Unit-1
12,Jay Jagannath Steel and Power Limited,CEMS-1
13,Jay Jagannath Steel and Power Limited,CEMS-2
14,Jindal India Thermal Power Ltd,CEMS-2
15,Jindal Steel and Power Ltd,CEMS-2
16,Kamal Jeet Singh Ahluwalia,CEMS-1
17,Kamal Jeet Singh Ahluwalia,CEMS-2
18,OCL Iron and Steel Limited,CEMS-1
19,OCL Iron and Steel Limited,CEMS-2
20,OCL Iron and Steel Limited,CEMS-3
21,Odisha Power Generation Corporation LTD,CEMS-2
22,Prabhu Sponge(p) Limited,CEMS-1
23,Rungta Mines Limited,CEMS-5
24,Samaleswari Ferro Metals Ltd,CEMS-1
25,Shri Jagannath Steels and Power Ltd.,CEMS-1
26,VISA SunCoke Limited,CEMS-1
27,Visa Steel Limited,CEMS-1
28,Visa Steel Limited,CEMS-3
29,Vishal Metallics Pvt Ltd,CEMS-1
