,company,station,percentnoncompliance
0,Action Ispat and Power (P) Ltd,CEMS-2,0.34300791556728233
1,Adhunik Metaliks Ltd.,CEMS-1,0.8753099539496989
2,Adhunik Metaliks Ltd.,CEMS-3,0.1926988992615299
3,Adhunik Metaliks Ltd.,CEMS-5,0.90475618544319
4,Adhunik Metaliks Ltd.,CEMS-6,0.24504549420416302
5,Adhunik Metaliks Ltd.,CEMS-7,0.6299575954103268
6,Adhunik Metaliks Ltd.,CEMS-9,0.16317702024571726
7,Agrasen Sponge Private Limited,CEMS-1,0.9744971264367817
8,Agrasen Sponge Private Limited,CEMS-2,0.9709196655761542
9,B.R. Sponge and Power Ltd.,CEMS-1,0.5542635658914729
10,BILT Graphics Paper Products Ltd,CEMS-2,1.0
11,Bhaskar Steel and Ferro Alloy Limited,CEMS-1,0.14018289402904788
12,Bhushan Steel Limited,CEMS-2,0.7220216606498195
13,Bhushan Steel Limited,CEMS-3,0.25424506654428636
14,Govindam Projects Pvt Ltd,CEMS-1,0.2281548413594825
15,Grewal Associates Pvt. Ltd.,CEMS-2,0.48508689525598875
16,"HINDALCO Ltd.,Captive Power Plant",st1,0.16666666666666666
17,"HINDALCO Ltd.,Captive Power Plant",st3,0.33147113594040967
18,Indian Metal and Ferro Alloys Ltd,boiler-2,0.6534926470588235
19,Indian Metal and Ferro Alloys Ltd,boiler-5,0.9964028776978417
20,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),120MW Unit-1,0.15940230341540906
21,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-3,0.3802568029214277
22,Jay Jagannath Steel and Power Limited,CEMS-1,0.31077441077441076
23,Jay Jagannath Steel and Power Limited,CEMS-2,0.23271780303030304
24,Jindal India Thermal Power Ltd,CEMS-2,0.5244239631336406
25,Jindal Steel and Power Ltd,CEMS-2,0.726940900146004
26,Kamal Jeet Singh Ahluwalia,CEMS-2,0.8880566245189665
27,Karakola Sponge Iron Ltd.,CEMS-2,0.1330680813439434
28,MSP Metalics Limited,CEMS-4,0.13749738000419198
29,"NALCO Ltd.,Captive Power Plant",CEMS-2,0.30032792129888825
30,"NALCO Ltd.,Captive Power Plant",CEMS-4,0.1696300600426109
31,"NALCO Ltd.,Smelter Plant",CEMS-7,0.10944589577890829
32,NTPC Limited (TSTPS),Unit4,0.25583559205469475
33,NTPC Limited (TTPS),CEMS-2,0.2090920004802113
34,NTPC Limited (TTPS),CEMS-3,0.31263383297644537
35,NTPC Limited (TTPS),CEMS-5,0.1480900286944046
36,OCL Iron and Steel Limited,CEMS-1,0.24935156802640887
37,OCL Iron and Steel Limited,CEMS-2,0.9710210550147159
38,OCL Iron and Steel Limited,CEMS-3,1.0
39,Odisha Power Generation Corporation LTD,CEMS-2,0.5746639661204198
40,Odisha Power Generation Corporation LTD,st1,0.16106210149358022
41,Prabhu Sponge(p) Limited,CEMS-1,0.9738194274528994
42,Rourkela Steel Plant,CEMS-15,0.5161290322580645
43,Rungta Mines Limited,CEMS-5,0.6666666666666666
44,Samaleswari Ferro Metals Ltd,CEMS-1,1.0
45,Scan Steels Limited (Unit-2),CEMS-1,0.5899340797321335
46,Scan Steels Limited (Unit-2),CEMS-3,0.13072568193515183
47,Shiv Mettalicks (P) Ltd,CEMS-1,0.16894889103182256
48,Shree Hari Sponge Pvt. Ltd.,CEMS-1,0.20988576918970855
49,Shri Jagannath Steels and Power Ltd.,CEMS-1,0.9370281400137268
50,Utkal Metallics Limited,CEMS-1,0.20534031413612566
51,VISA SunCoke Limited,CEMS-1,0.5257923568540498
52,Visa Steel Limited,CEMS-1,1.0
53,Visa Steel Limited,CEMS-3,1.0
54,Visa Steel Limited,CEMS-4,0.2170511126917996
55,Vishal Metallics Pvt Ltd,CEMS-1,0.5362875876102193
